ICD10_Code,dx_name,N,oncotree_code,Confidence,Metastasis,ICD10 info,level_1,level_2,level_3,level_4,level_5
C48.0,Retroperitoneal sarcoma (CMS-HCC),5,,,,,,,,,
C49.A0,Gastrointestinal stromal sarcoma (CMS-HCC),5,,,,,,,,,
C50.111,Malignant neoplasm of central portion of right female breast (CMS-HCC),5,,,,,,,,,
C50.112,Malignant neoplasm of central portion of left female breast (CMS-HCC),5,,,,,,,,,
C50.412,Malignant neoplasm of upper-outer quadrant of left breast in female,5,,,,,,,,,
C50.919,Invasive ductal carcinoma of breast,5,,,,,,,,,
C50.919,Triple negative malignant neoplasm of breast (CMS-HCC),5,,,,,,,,,
C54.1,Endometrial ca (CMS-HCC),5,,,,,,,,,
C54.1,Endometrial carcinoma (CMS-HCC),5,,,,,,,,,
C56.1,Malignant neoplasm of both ovaries (CMS-HCC),5,,,,,,,,,
C56.2,Malignant neoplasm of both ovaries (CMS-HCC),5,,,,,,,,,
C64.1,Malignant neoplasm of kidney,5,,,,,,,,,
C64.1,Renal cell carcinoma,5,,,,,,,,,
C64.2,Renal cell carcinoma,5,,,,,,,,,
C71.9,Oligodendroglioma (CMS-HCC),5,,,,,,,,,
C73,Thyroid carcinoma (CMS-HCC),5,,,,,,,,,
C78.00,Lung metastasis (CMS-HCC),5,,,,,,,,,
C78.7,Metastases to the liver (CMS-HCC),5,,,,,,,,,
C79.31,Metastatic adenocarcinoma to brain (CMS-HCC),5,,,,,,,,,
C79.51,Metastasis to spinal column (CMS-HCC),5,,,,,,,,,
C79.72,Malignant neoplasm metastatic to left adrenal gland (CMS-HCC),5,,,,,,,,,
C7A.8,Neuroendocrine carcinoma (CMS-HCC),5,,,,,,,,,
C83.30,Diffuse large B cell lymphoma (CMS-HCC),5,,,,,,,,,
D05.10,Ductal carcinoma in situ (DCIS) of breast,5,,,,,,,,,
D05.12,Breast neoplasm,5,,,,,,,,,
D09.9,Adenocarcinoma in situ,5,,,,,,,,,
D11.0,Pleomorphic adenoma of parotid gland,5,,,,,,,,,
D12.6,Colon adenomas,5,,,,,,,,,
D21.9,Fibroid,5,,,,,,,,,
D30.02,Renal oncocytoma of left kidney,5,,,,,,,,,
D39.10,Neoplasm of ovary with borderline malignant features,5,,,,,,,,,
D49.0,Neoplasm of appendix,5,,,,,,,,,
D49.6,Neoplasm of brain causing mass effect on adjacent structures (CMS-HCC),5,,,,,,,,,
Z17.0,Malignant neoplasm of lower-outer quadrant of left breast of female,5,,,,,,,,,
Z17.0,Malignant neoplasm of right breast in female,5,,,,,,,,,
C01,Malignant neoplasm of base of tongue (CMS-HCC),4,,,,,,,,,
C02.2,Squamous cell carcinoma of ventral tongue (CMS-HCC),4,,,,,,,,,
C02.9,Squamous cell cancer of tongue (CMS-HCC),4,,,,,,,,,
C03.1,Cancer of alveolus of mandible (CMS-HCC),4,,,,,,,,,
C09.9,Right tonsillar squamous cell carcinoma (CMS-HCC),4,,,,,,,,,
C10.9,Adenoid cystic carcinoma of oropharynx (CMS-HCC),4,,,,,,,,,
C11.9,Nasopharyngeal carcinoma (CMS-HCC),4,,,,,,,,,
C14.0,Malignant neoplasm of pharynx (CMS-HCC),4,,,,,,,,,
C18.1,Cancer of appendix metastatic to intra-abdominal lymph node (CMS-HCC),4,,,,,,,,,
C18.7,Cancer of sigmoid (CMS-HCC),4,,,,,,,,,
C18.7,Cancer of sigmoid colon (CMS-HCC),4,,,,,,,,,
C18.7,Cancer of sigmoid colon metastatic to intra-abdominal lymph node (CMS-HCC),4,,,,,,,,,
C18.9,Colon cancer metastasized to pelvis (CMS-HCC),4,,,,,,,,,
C19,Colorectal cancer,4,,,,,,,,,
C19,Rectosigmoid cancer (CMS-HCC),4,,,,,,,,,
C20,Malignant tumor of rectum (CMS-HCC),4,,,,,,,,,
C22.9,Adenocarcinoma of liver (CMS-HCC),4,,,,,,,,,
C25.9,Adenocarcinoma of pancreas (CMS-HCC),4,,,,,,,,,
C25.9,Metastasis from pancreatic cancer (CMS-HCC),4,,,,,,,,,
C30.0,Malignant melanoma of nasal cavity (CMS-HCC),4,,,,,,,,,
C32.0,Squamous cell carcinoma of glottis (CMS-HCC),4,,,,,,,,,
C34.31,Malignant neoplasm of lower lobe of right lung (CMS-HCC),4,,,,,,,,,
C34.90,Adenocarcinoma of lung (CMS-HCC),4,,,,,,,,,
C34.90,Non-small cell lung cancer,4,,,,,,,,,
C34.90,Non-small cell lung cancer (CMS-HCC),4,,,,,,,,,
C34.90,Recurrent non-small cell lung cancer (NSCLC) (CMS-HCC),4,,,,,,,,,
C34.91,Primary lung cancer,4,,,,,,,,,
C43.4,Malignant melanoma of neck (CMS-HCC),4,,,,,,,,,
C43.59,Malignant melanoma of chest wall (CMS-HCC),4,,,,,,,,,
C43.59,Malignant melanoma of torso excluding breast (CMS-HCC),4,,,,,,,,,
C44.42,Squamous cell carcinoma of neck,4,,,,,,,,,
C44.91,Basal cell carcinoma (BCC),4,,,,,,,,,
C48.0,Liposarcoma of retroperitoneum (CMS-HCC),4,,,,,,,,,
C48.2,Primary peritoneal carcinomatosis (CMS-HCC),4,,,,,,,,,
C49.9,Fibrosarcoma (CMS-HCC),4,,,,,,,,,
C50.211,Malignant neoplasm of upper-inner quadrant of right breast in female,4,,,,,,,,,
C50.312,Malignant neoplasm of lower-inner quadrant of left female breast (CMS-HCC),4,,,,,,,,,
C50.911,Malignant neoplasm of right female breast,4,,,,,,,,,
C50.912,Malignant neoplasm of left female breast,4,,,,,,,,,
C50.919,Breast cancer in female (CMS-HCC),4,,,,,,,,,
C50.919,Breast cancer metastasized to bone,4,,,,,,,,,
C50.919,Breast cancer metastasized to bone (CMS-HCC),4,,,,,,,,,
C50.919,Carcinoma of breast metastatic to liver,4,,,,,,,,,
C50.919,Malignant neoplasm of breast metastatic to brain,4,,,,,,,,,
C53.0,Endocervical adenocarcinoma (CMS-HCC),4,,,,,,,,,
C53.9,Malignant neoplasm of cervix (CMS-HCC),4,,,,,,,,,
C56.9,Ovarian ca (CMS-HCC),4,,,,,,,,,
C57.00,Fallopian tube cancer,4,,,,,,,,,
C64.1,Renal cancer,4,,,,,,,,,
C64.2,Renal cell carcinoma of left kidney (CMS-HCC),4,,,,,,,,,
C67.9,Bladder cancer metastasized to bone (CMS-HCC),4,,,,,,,,,
C68.9,Urothelial cancer (CMS-HCC),4,,,,,,,,,
C71.9,Oligodendroglioma,4,,,,,,,,,
C73,Follicular carcinoma of thyroid (CMS-HCC),4,,,,,,,,,
C73,Follicular thyroid cancer (CMS-HCC),4,,,,,,,,,
C73,Follicular thyroid carcinoma (CMS-HCC),4,,,,,,,,,
C73,Thyroid cancer,4,,,,,,,,,
C76.0,Malignant neoplasm of head and neck (CMS-HCC),4,,,,,,,,,
C77.2,Cancer of appendix metastatic to intra-abdominal lymph node (CMS-HCC),4,,,,,,,,,
C77.2,Cancer of sigmoid colon metastatic to intra-abdominal lymph node (CMS-HCC),4,,,,,,,,,
C77.2,Secondary malignant neoplasm of retroperitoneal lymph node (CMS-HCC),4,,,,,,,,,
C77.8,Secondary malignant neoplasm of multiple lymph nodes (CMS-HCC),4,,,,,,,,,
C77.9,Metastasis to lymph nodes (CMS-HCC),4,,,,,,,,,
C77.9,Metastatic squamous cell carcinoma involving lymph node with unknown primary site (CMS-HCC),4,,,,,,,,,
C77.9,Regional lymph node metastasis present (CMS-HCC),4,,,,,,,,,
C77.9,Secondary malignant melanoma of lymph node (CMS-HCC),4,,,,,,,,,
C78.00,Metastatic melanoma to lung (CMS-HCC),4,,,,,,,,,
C78.7,Carcinoma of breast metastatic to liver,4,,,,,,,,,
C78.7,Secondary melanoma of liver (CMS-HCC),4,,,,,,,,,
C79.31,Malignant neoplasm of breast metastatic to brain,4,,,,,,,,,
C79.31,Metastatic cancer to brain (CMS-HCC),4,,,,,,,,,
C79.51,Bladder cancer metastasized to bone (CMS-HCC),4,,,,,,,,,
C79.51,Breast cancer metastasized to bone,4,,,,,,,,,
C79.51,Breast cancer metastasized to bone (CMS-HCC),4,,,,,,,,,
C79.51,Malignant neoplasm metastatic to bone (CMS-HCC),4,,,,,,,,,
C79.51,Osseous metastasis (CMS-HCC),4,,,,,,,,,
C79.51,Secondary malignant melanoma of bone (CMS-HCC),4,,,,,,,,,
C79.89,Colon cancer metastasized to pelvis (CMS-HCC),4,,,,,,,,,
C79.89,Metastatic squamous cell carcinoma to head and neck (CMS-HCC),4,,,,,,,,,
C79.89,Metastatic squamous neck cancer with occult primary (CMS-HCC),4,,,,,,,,,
C79.9,Metastasis from pancreatic cancer (CMS-HCC),4,,,,,,,,,
C7A.00,Carcinoid tumor metastatic to intra-abdominal lymph node (CMS-HCC),4,,,,,,,,,
C7A.8,Malignant neuroendocrine tumor of lymph node (CMS-HCC),4,,,,,,,,,
C7A.8,Neuroendocrine carcinoma metastatic to intra-abdominal lymph node (CMS-HCC),4,,,,,,,,,
C7A.8,Neuroendocrine carcinoma metastatic to liver (CMS-HCC),4,,,,,,,,,
C7B.09,Carcinoid tumor metastatic to intra-abdominal lymph node (CMS-HCC),4,,,,,,,,,
C7B.8,Neuroendocrine carcinoma metastatic to intra-abdominal lymph node (CMS-HCC),4,,,,,,,,,
C7B.8,Neuroendocrine carcinoma metastatic to liver (CMS-HCC),4,,,,,,,,,
C80.1,Adenocarcinoma of unknown origin (CMS-HCC),4,,,,,,,,,
C80.1,Adenocarcinoma of unknown primary (CMS-HCC),4,,,,,,,,,
C80.1,Carcinoma of unknown primary (CMS-HCC),4,,,,,,,,,
C80.1,Metastatic squamous cell carcinoma involving lymph node with unknown primary site (CMS-HCC),4,,,,,,,,,
C80.1,Metastatic squamous neck cancer with occult primary (CMS-HCC),4,,,,,,,,,
C83.10,Mantle cell lymphoma (CMS-HCC),4,,,,,,,,,
D05.10,Ductal carcinoma in situ of breast,4,,,,,,,,,
D16.5,Ameloblastoma,4,,,,,,,,,
D17.0,Lipoma of neck,4,,,,,,,,,
D17.71,Renal angiomyolipoma,4,,,,,,,,,
D18.03,Hemangioma of liver,4,,,,,,,,,
D21.9,Fibroids,4,,,,,,,,,
D35.2,Pituitary adenoma (CMS-HCC),4,,,,,,,,,
D3A.020,Carcinoid tumor of appendix,4,,,,,,,,,
D49.0,Pancreatic neoplasm,4,,,,,,,,,
D49.0,Parotid neoplasm,4,,,,,,,,,
K63.5,Polyp of colon,4,,,,,,,,,
Z17.0,Malignant neoplasm of upper-outer quadrant of left breast in female,4,,,,,,,,,
C02.9,Primary tongue squamous cell carcinoma (CMS-HCC),3,,,,,,,,,
C02.9,Recurrent tongue squamous cell carcinoma (CMS-HCC),3,,,,,,,,,
C02.9,Tongue carcinoma (CMS-HCC),3,,,,,,,,,
C06.9,Oral cavity carcinoma (CMS-HCC),3,,,,,,,,,
C06.9,Squamous cell carcinoma of mouth (CMS-HCC),3,,,,,,,,,
C07,Adenoid cystic carcinoma of parotid gland (CMS-HCC),3,,,,,,,,,
C07,Cancer of parotid gland (CMS-HCC),3,,,,,,,,,
C09.9,Malignant neoplasm of tonsil (CMS-HCC),3,,,,,,,,,
C09.9,Primary tonsillar squamous cell carcinoma (CMS-HCC),3,,,,,,,,,
C10.9,Carcinoma of oropharynx (CMS-HCC),3,,,,,,,,,
C11.9,Nasopharynx cancer (CMS-HCC),3,,,,,,,,,
C14.0,Pharyngeal cancer (CMS-HCC),3,,,,,,,,,
C15.5,Malignant neoplasm of lower third of esophagus (CMS-HCC),3,,,,,,,,,
C15.9,Esophageal cancer,3,,,,,,,,,
C18.9,Adenocarcinoma,3,,,,,,,,,
C18.9,Adenocarcinoma of colon (CMS-HCC),3,,,,,,,,,
C18.9,Local recurrence of colon cancer (CMS-HCC),3,,,,,,,,,
C19,Malignant neoplasm of rectosigmoid junction (CMS-HCC),3,,,,,,,,,
C24.1,Cancer of ampulla of Vater (CMS-HCC),3,,,,,,,,,
C25.2,Malignant neoplasm of tail of pancreas (CMS-HCC),3,,,,,,,,,
C30.0,Melanoma of nasal cavity (CMS-HCC),3,,,,,,,,,
C32.1,Squamous cell carcinoma of supraglottis (CMS-HCC),3,,,,,,,,,
C34.12,Malignant neoplasm of bronchus of left upper lobe (CMS-HCC),3,,,,,,,,,
C34.31,Malignant neoplasm of bronchus of right lower lobe (CMS-HCC),3,,,,,,,,,
C34.32,Malignant neoplasm of bronchus of left lower lobe (CMS-HCC),3,,,,,,,,,
C34.90,Metastatic lung cancer (metastasis from lung to other site) (CMS-HCC),3,,,,,,,,,
C34.90,Non-small cell lung cancer (NSCLC) (CMS-HCC),3,,,,,,,,,
C34.91,Adenocarcinoma of right lung (CMS-HCC),3,,,,,,,,,
C41.1,Squamous cell carcinoma of mandible (CMS-HCC),3,,,,,,,,,
C43.4,Melanoma of neck (CMS-HCC),3,,,,,,,,,
C43.62,Melanoma of upper arm,3,,,,,,,,,
C43.9,Malignant melanoma (CMS-HCC),3,,,,,,,,,
C44.319,Basal cell carcinoma of cheek,3,,,,,,,,,
C44.320,Squamous cell carcinoma,3,,,,,,,,,
C44.320,Squamous cell skin cancer,3,,,,,,,,,
C44.40,Malignant neoplasm of skin of scalp and neck,3,,,,,,,,,
C44.42,Squamous cell carcinoma of skin of neck,3,,,,,,,,,
C44.91,Malignant basal cell neoplasm of skin,3,,,,,,,,,
C44.92,Primary skin squamous cell carcinoma,3,,,,,,,,,
C48.0,Retroperitoneal liposarcoma (CMS-HCC),3,,,,,,,,,
C48.2,Primary peritoneal adenocarcinoma (CMS-HCC),3,,,,,,,,,
C49.4,Malignant neoplasm of connective and other soft tissue of abdomen,3,,,,,,,,,
C49.9,Dedifferentiated liposarcoma (CMS-HCC),3,,,,,,,,,
C49.9,Leiomyosarcoma (CMS-HCC),3,,,,,,,,,
C49.A0,Malignant GIST (gastrointestinal stromal tumor) (CMS-HCC),3,,,,,,,,,
C49.A3,Malignant GIST (gastrointestinal stromal tumor) of small intestine (CMS-HCC),3,,,,,,,,,
C50.111,Malignant neoplasm of central portion of right breast in female,3,,,,,,,,,
C50.511,Malignant neoplasm of lower-outer quadrant of right breast of female,3,,,,,,,,,
C50.911,Bilateral breast cancer (CMS-HCC),3,,,,,,,,,
C50.911,Infiltrating ductal carcinoma of right breast (CMS-HCC),3,,,,,,,,,
C50.912,Bilateral breast cancer (CMS-HCC),3,,,,,,,,,
C50.912,Invasive ductal carcinoma of left breast in female (CMS-HCC),3,,,,,,,,,
C50.912,Local recurrence of cancer of left breast (CMS-HCC),3,,,,,,,,,
C50.912,Malignant neoplasm of left breast in female,3,,,,,,,,,
C50.919,Primary malignant neoplasm of breast (CMS-HCC),3,,,,,,,,,
C50.929,Malignant neoplasm of male breast (CMS-HCC),3,,,,,,,,,
C51.9,Vulvar cancer (CMS-HCC),3,,,,,,,,,
C53.9,Cervical ca (CMS-HCC),3,,,,,,,,,
C53.9,Cervical cancer,3,,,,,,,,,
C53.9,Recurrent cervical cancer (CMS-HCC),3,,,,,,,,,
C55,Clear cell adenocarcinoma of uterus (CMS-HCC),3,,,,,,,,,
C55,Endometrioid adenocarcinoma of uterus (CMS-HCC),3,,,,,,,,,
C62.90,Malignant neoplasm of testis (CMS-HCC),3,,,,,,,,,
C62.91,Malignant neoplasm of right testis (CMS-HCC),3,,,,,,,,,
C64.1,Cancer of right kidney (CMS-HCC),3,,,,,,,,,
C64.1,Malignant neoplasm of right kidney (CMS-HCC),3,,,,,,,,,
C64.1,Renal cell carcinoma of right kidney (CMS-HCC),3,,,,,,,,,
C64.2,Renal cancer,3,,,,,,,,,
C64.9,Cancer of kidney (CMS-HCC),3,,,,,,,,,
C64.9,Kidney cancer,3,,,,,,,,,
C65.9,Malignant neoplasm of renal pelvis (CMS-HCC),3,,,,,,,,,
C66.9,Ureteral cancer (CMS-HCC),3,,,,,,,,,
C68.0,Urethral cancer (CMS-HCC),3,,,,,,,,,
C71.9,Anaplastic astrocytoma (CMS-HCC),3,,,,,,,,,
C71.9,Anaplastic astrocytoma of brain (CMS-HCC),3,,,,,,,,,
C71.9,Astrocytoma (CMS-HCC),3,,,,,,,,,
C73,Medullary thyroid carcinoma (CMS-HCC),3,,,,,,,,,
C76.0,Cancer of neck (CMS-HCC),3,,,,,,,,,
C76.0,Squamous cell carcinoma of head and neck (CMS-HCC),3,,,,,,,,,
C76.2,Malignant neoplasm of abdomen (CMS-HCC),3,,,,,,,,,
C76.3,Serous carcinoma of female pelvis (CMS-HCC),3,,,,,,,,,
C77.0,Secondary malignant neoplasm of cervical lymph node (CMS-HCC),3,,,,,,,,,
C77.1,Metastasis to mediastinal lymph node (CMS-HCC),3,,,,,,,,,
C77.1,Secondary malignant neoplasm of intrathoracic lymph nodes (CMS-HCC),3,,,,,,,,,
C77.3,Metastatic cancer to axillary lymph nodes (CMS-HCC),3,,,,,,,,,
C77.9,Metastatic adenocarcinoma to lymph node (CMS-HCC),3,,,,,,,,,
C77.9,Metastatic squamous cell carcinoma to lymph node (CMS-HCC),3,,,,,,,,,
C78.6,Malignant pseudomyxoma peritonei (CMS-HCC),3,,,,,,,,,
C78.7,Malignant neoplasm metastatic to liver (CMS-HCC),3,,,,,,,,,
C78.7,Secondary malignancy of liver (CMS-HCC),3,,,,,,,,,
C79.2,Secondary cancer of skin (CMS-HCC),3,,,,,,,,,
C79.31,Malignant neoplasm metastatic to brain and cerebral meninges with unknown primary site (CMS-HCC),3,,,,,,,,,
C79.32,Malignant neoplasm metastatic to brain and cerebral meninges with unknown primary site (CMS-HCC),3,,,,,,,,,
C79.49,Leptomeningeal metastases (CMS-HCC),3,,,,,,,,,
C79.60,Ovarian metastasis (CMS-HCC),3,,,,,,,,,
C79.70,Secondary malignant neoplasm of adrenal gland (CMS-HCC),3,,,,,,,,,
C79.9,Metastatic malignant melanoma (CMS-HCC),3,,,,,,,,,
C7A.8,Large cell neuroendocrine carcinoma (CMS-HCC),3,,,,,,,,,
C7A.8,Primary malignant neuroendocrine tumor of ileum (CMS-HCC),3,,,,,,,,,
C80.1,Adenoid cystic carcinoma (CMS-HCC),3,,,,,,,,,
C80.1,Malignant neoplasm metastatic to brain and cerebral meninges with unknown primary site (CMS-HCC),3,,,,,,,,,
C80.1,Signet ring cell adenocarcinoma (CMS-HCC),3,,,,,,,,,
C80.1,Small cell carcinoma (CMS-HCC),3,,,,,,,,,
C85.90,Lymphoma,3,,,,,,,,,
D05.01,Breast neoplasm,3,,,,,,,,,
D07.1,VIN III (vulvar intraepithelial neoplasia III),3,,,,,,,,,
D09.9,Squamous cell carcinoma in situ,3,,,,,,,,,
D11.9,Pleomorphic adenoma,3,,,,,,,,,
D11.9,Warthin tumor,3,,,,,,,,,
D12.1,Mucinous cystadenoma of appendix,3,,,,,,,,,
D12.6,High grade dysplasia in colonic adenoma,3,,,,,,,,,
D20.0,Benign teratoma of retroperitoneum,3,,,,,,,,,
D22.9,Nevus,3,,,,,,,,,
D25.9,Fibroid,3,,,,,,,,,
D25.9,Leiomyoma of uterus,3,,,,,,,,,
D25.9,Uterine fibroid,3,,,,,,,,,
D33.3,Acoustic neuroma (CMS-HCC),3,,,,,,,,,
D33.3,Vestibular schwannoma (CMS-HCC),3,,,,,,,,,
D35.2,Pituitary macroadenoma (CMS-HCC),3,,,,,,,,,
D39.10,Ovarian tumor of borderline malignancy,3,,,,,,,,,
D44.7,Paraganglioma (CMS-HCC),3,,,,,,,,,
D47.1,Myeloproliferative disorder (CMS-HCC),3,,,,,,,,,
D47.3,Thrombocythemia (CMS-HCC),3,,,,,,,,,
D48.1,Desmoid tumor,3,,,,,,,,,
D48.1,Neoplasm of uncertain behavior of connective and other soft tissue,3,,,,,,,,,
D49.0,Mucinous neoplasm of pancreas,3,,,,,,,,,
D49.0,Rectal tumor,3,,,,,,,,,
D49.2,Neoplasm of soft tissue,3,,,,,,,,,
D49.6,Cerebellar tumor (CMS-HCC),3,,,,,,,,,
D49.9,Extragonadal germ cell tumor,3,,,,,,,,,
D49.9,Neoplasm by body site,3,,,,,,,,,
K63.5,Colonic polyp,3,,,,,,,,,
Q85.01,Neurofibromatosis,3,,,,,,,,,
Z17.0,Malignant neoplasm of left breast in female,3,,,,,,,,,
Z17.0,Malignant neoplasm of lower-outer quadrant of right breast of female,3,,,,,,,,,
Z17.1,Malignant neoplasm of upper-outer quadrant of right breast in female,3,,,,,,,,,
C00.1,Squamous cell carcinoma of vermilion border of lower lip,2,,,,,,,,,
C02.2,Cancer of anterior two-thirds of tongue,2,,,,,,,,,
C02.3,Cancer of lateral margin of anterior two-thirds of tongue (CMS-HCC),2,,,,,,,,,
C02.9,Malignant neoplasm of tongue (CMS-HCC),2,,,,,,,,,
C02.9,Recurrent tongue cancer (CMS-HCC),2,,,,,,,,,
C04.9,Floor of mouth squamous cell carcinoma (CMS-HCC),2,,,,,,,,,
C05.0,Adenoid cystic carcinoma of hard palate (CMS-HCC),2,,,,,,,,,
C05.9,Cancer of palate (CMS-HCC),2,,,,,,,,,
C06.0,Carcinoma of buccal mucosa (CMS-HCC),2,,,,,,,,,
C06.0,Squamous cell carcinoma of buccal mucosa (CMS-HCC),2,,,,,,,,,
C06.9,Cancer of oral cavity (CMS-HCC),2,,,,,,,,,
C06.9,Carcinoma of minor salivary gland (CMS-HCC),2,,,,,,,,,
C06.9,Carcinoma of oral cavity (CMS-HCC),2,,,,,,,,,
C06.9,Primary oral squamous cell carcinoma (CMS-HCC),2,,,,,,,,,
C07,Mucoepidermoid carcinoma of parotid gland (CMS-HCC),2,,,,,,,,,
C08.0,Carcinoma submandibular gland (CMS-HCC),2,,,,,,,,,
C08.9,Salivary gland carcinoma (CMS-HCC),2,,,,,,,,,
C11.9,Nasopharyngeal cancer (CMS-HCC),2,,,,,,,,,
C13.1,Malignant neoplasm of aryepiglottic fold,2,,,,,,,,,
C14.0,Throat cancer (CMS-HCC),2,,,,,,,,,
C15.9,Esophageal adenocarcinoma (CMS-HCC),2,,,,,,,,,
C15.9,Esophagus cancer (CMS-HCC),2,,,,,,,,,
C16.0,GE junction carcinoma (CMS-HCC),2,,,,,,,,,
C16.3,Malignant neoplasm of pyloric antrum (CMS-HCC),2,,,,,,,,,
C16.9,Malignant neoplasm of stomach (CMS-HCC),2,,,,,,,,,
C17.0,Duodenal adenocarcinoma (CMS-HCC),2,,,,,,,,,
C17.0,Duodenal cancer (CMS-HCC),2,,,,,,,,,
C18.0,Cecal cancer (CMS-HCC),2,,,,,,,,,
C18.1,Malignant neoplasm of appendix (CMS-HCC),2,,,,,,,,,
C18.5,Malignant neoplasm of splenic flexure (CMS-HCC),2,,,,,,,,,
C18.9,Colon cancer metastasized to intra-abdominal lymph node (CMS-HCC),2,,,,,,,,,
C18.9,Colon cancer metastasized to small intestine (CMS-HCC),2,,,,,,,,,
C18.9,Colon carcinoma metastatic to bone (CMS-HCC),2,,,,,,,,,
C18.9,Colon carcinoma metastatic to lung (CMS-HCC),2,,,,,,,,,
C18.9,Colon carcinoma metastatic to ovary (CMS-HCC),2,,,,,,,,,
C18.9,Recurrent carcinoma of colon (CMS-HCC),2,,,,,,,,,
C20,Local recurrence of rectal cancer (CMS-HCC),2,,,,,,,,,
C20,Rectal adenocarcinoma (CMS-HCC),2,,,,,,,,,
C20,Rectal adenocarcinoma metastatic to bone (CMS-HCC),2,,,,,,,,,
C20,Rectal cancer metastasized to intrapelvic lymph node (CMS-HCC),2,,,,,,,,,
C20,Rectal cancer metastasized to pelvis (CMS-HCC),2,,,,,,,,,
C20,Rectal cancer metastatic to bone (CMS-HCC),2,,,,,,,,,
C22.0,Portal vein thrombosis secondary to invasion with hepatocellular carcinoma (CMS-HCC),2,,,,,,,,,
C22.1,Intrahepatic cholangiocarcinoma (CMS-HCC),2,,,,,,,,,
C24.9,Biliary tract cancer (CMS-HCC),2,,,,,,,,,
C25.0,Cancer of head of pancreas (CMS-HCC),2,,,,,,,,,
C25.7,Malignant neoplasm of other specified sites of pancreas,2,,,,,,,,,
C25.8,Overlapping malignant neoplasm of pancreas (CMS-HCC),2,,,,,,,,,
C25.9,Carcinoma of pancreas metastatic to liver (CMS-HCC),2,,,,,,,,,
C25.9,Pancreatic carcinoma (CMS-HCC),2,,,,,,,,,
C31.1,Cancer of ethmoid sinus (CMS-HCC),2,,,,,,,,,
C32.0,Squamous cell carcinoma of right vocal cord (CMS-HCC),2,,,,,,,,,
C32.0,Squamous cell carcinoma of vocal cord (CMS-HCC),2,,,,,,,,,
C32.0,Vocal cord cancer (CMS-HCC),2,,,,,,,,,
C32.1,Carcinoma of supraglottis (CMS-HCC),2,,,,,,,,,
C34.2,Malignant neoplasm of middle lobe of right lung (CMS-HCC),2,,,,,,,,,
C34.90,Lung cancer,2,,,,,,,,,
C34.90,Primary lung squamous cell carcinoma (CMS-HCC),2,,,,,,,,,
C34.90,Primary malignant neoplasm of lung metastatic to other site,2,,,,,,,,,
C34.90,Pseudosarcomatous carcinoma of lung,2,,,,,,,,,
C34.90,Small cell lung cancer (CMS-HCC),2,,,,,,,,,
C34.91,Adenocarcinoma of lung,2,,,,,,,,,
C34.91,Metastasis from malignant tumor of lung,2,,,,,,,,,
C34.91,Non-small cell cancer of right lung (CMS-HCC),2,,,,,,,,,
C34.92,Adenocarcinoma of left lung,2,,,,,,,,,
C34.92,Malignant neoplasm of left lung,2,,,,,,,,,
C34.92,Non-small cell cancer of left lung (CMS-HCC),2,,,,,,,,,
C34.92,Primary lung adenocarcinoma,2,,,,,,,,,
C41.1,Malignant neoplasm of mandible (CMS-HCC),2,,,,,,,,,
C41.1,Squamous cell carcinoma of mandibular alveolar ridge (CMS-HCC),2,,,,,,,,,
C41.9,Ewing sarcoma (CMS-HCC),2,,,,,,,,,
C43.21,Melanoma of ear,2,,,,,,,,,
C43.22,Melanoma of ear,2,,,,,,,,,
C43.39,Melanoma of cheek (CMS-HCC),2,,,,,,,,,
C43.39,Melanoma of right temple (CMS-HCC),2,,,,,,,,,
C43.4,Melanoma of head (CMS-HCC),2,,,,,,,,,
C43.59,Malignant melanoma of axilla (CMS-HCC),2,,,,,,,,,
C43.59,Malignant melanoma of trunk (CMS-HCC),2,,,,,,,,,
C43.59,Melanoma of flank (CMS-HCC),2,,,,,,,,,
C43.60,Malignant melanoma of upper limb,2,,,,,,,,,
C43.60,Melanoma of upper arm (CMS-HCC),2,,,,,,,,,
C43.62,Malignant melanoma of left upper arm (CMS-HCC),2,,,,,,,,,
C43.62,Malignant melanoma of left upper extremity (CMS-HCC),2,,,,,,,,,
C43.70,Melanoma of lower leg (CMS-HCC),2,,,,,,,,,
C43.71,Malignant melanoma of lower extremity,2,,,,,,,,,
C43.71,Malignant melanoma of right knee (CMS-HCC),2,,,,,,,,,
C43.71,Melanoma of foot,2,,,,,,,,,
C44.02,SCC (squamous cell carcinoma),2,,,,,,,,,
C44.02,Squamous cell cancer of lip,2,,,,,,,,,
C44.229,Squamous cell carcinoma of left ear,2,,,,,,,,,
C44.300,Cancer of skin of face,2,,,,,,,,,
C44.311,Basal cell carcinoma of skin of nose,2,,,,,,,,,
C44.319,Basal cell carcinoma (BCC) of skin of other part of face,2,,,,,,,,,
C44.320,Squamous cell carcinoma of face,2,,,,,,,,,
C44.329,Squamous cell carcinoma of forehead,2,,,,,,,,,
C44.41,Basal cell carcinoma of scalp,2,,,,,,,,,
C44.519,Basal cell carcinoma of upper back,2,,,,,,,,,
C44.729,Squamous cell carcinoma of left lower leg,2,,,,,,,,,
C44.91,Metastatic basal cell carcinoma,2,,,,,,,,,
C44.92,Squamous cell carcinoma of skin,2,,,,,,,,,
C45.1,Malignant mesothelioma of peritoneum (CMS-HCC),2,,,,,,,,,
C45.9,Epithelioid mesothelioma,2,,,,,,,,,
C47.9,Malignant peripheral nerve sheath tumor (CMS-HCC),2,,,,,,,,,
